url,source,headline_raw,headline_repaired,headline_clean,article_date,label,char_count,word_count
https://www.foxnews.com/lifestyle/jack-carrs-eisenhower-d-days-memo-noble-undertaking,FoxNews,Jack Carr recalls Gen. Eisenhower's D-Day memo about 'great and noble undertaking',Jack Carr recalls Gen. Eisenhower's D-Day memo about 'great and noble undertaking',jack carr recall gen eisenhower day memo 'great noble undertaking',2024-06-06T04:30:24-04:00,1,82,10
https://www.foxnews.com/entertainment/bruce-willis-demi-moore-avoided-doing-one-thing-while-co-parenting-daughter-says,FoxNews,"Bruce Willis, Demi Moore avoided doing one thing while co-parenting, daughter says","Bruce Willis, Demi Moore avoided doing one thing while co-parenting, daughter says",bruce willis demi moore avoided one thing co parenting daughter say,2024-10-18T15:56:05-04:00,1,82,11
https://www.foxnews.com/politics/blinken-meets-with-qatars-prime-minister.print,FoxNews,"Blinken meets Qatar PM, says Israeli actions are not 'retaliation,' but 'defending the lives of its people'","Blinken meets Qatar PM, says Israeli actions are not 'retaliation,' but 'defending the lives of its people'",blinken meet qatar pm say israeli action 'retaliation ' 'defending life people',2023-10-13T14:06:08-04:00,1,107,12
https://www.foxnews.com/entertainment/emily-blunt-says-toes-curl-when-people-their-kids-want-act-want-say-dont-do-it,FoxNews,"Emily Blunt says her ?€?toes curl?€? when people tell her their kids want to act: 'I want to say, don?€?t do it!'","Emily Blunt says her toes curl when people tell her their kids want to act: 'I want to say, don't do it!'",emily blunt say toe curl people tell kid want act 'i want say dont ',2023-06-09T13:55:28-04:00,1,105,15
https://www.foxnews.com/media/the-view-co-host-cnn-commentator-ana-navarro-host-night-2-democratic-national-convention,FoxNews,"'The View' co-host, CNN commentator Ana Navarro to host night 2 of Democratic National Convention","'The View' co-host, CNN commentator Ana Navarro to host night 2 of Democratic National Convention",'the view' co host cnn commentator ana navarro host night 2 democratic national convention,2024-08-19T21:00:35-04:00,1,97,14
https://www.foxnews.com/politics/striking-boeing-workers-boo-after-democrat-sen-maria-cantwell-criticizes-trump.print,FoxNews,Striking Boeing workers boo after Democratic Sen. Maria Cantwell criticizes Trump,Striking Boeing workers boo after Democratic Sen. Maria Cantwell criticizes Trump,striking boeing worker boo democratic sen maria cantwell criticizes trump,2024-10-16T17:35:17-04:00,1,81,10
https://www.foxnews.com/politics/white-house-grilled-harris-gun-ownership-mandatory-gun-buybacks.print,FoxNews,"White House grilled on Harris' gun ownership, mandatory gun buybacks","White House grilled on Harris' gun ownership, mandatory gun buybacks",white house grilled harris' gun ownership mandatory gun buyback,2024-09-26T15:29:03-04:00,1,68,9
https://www.foxnews.com/media/tom-cotton-turns-tables-cnns-dana-bash-guns-brings-up-harris-past-remarks-school-shootings,FoxNews,"Tom Cotton turns tables on CNN's Dana Bash on guns, brings up Harris' past remarks on school shootings","Tom Cotton turns tables on CNN's Dana Bash on guns, brings up Harris' past remarks on school shootings",tom cotton turn table cnns dana bash gun brings harris' past remark school shooting,2024-09-08T19:00:46-04:00,1,102,14
https://www.foxnews.com/politics/kamala-rides-tsunami-positive-press-skeptics-see-risky-choice,FoxNews,"Kamala rides tsunami of positive press, but skeptics see a risky choice","Kamala rides tsunami of positive press, but skeptics see a risky choice",kamala ride tsunami positive press skeptic see risky choice,2024-07-24T07:09:26-04:00,1,71,9
https://www.foxnews.com/politics/harris-running-mate-faces-renewed-scrutiny-weird-socialism-comparison-resurfaces,FoxNews,Harris' running mate faces renewed scrutiny after his 'weird' socialism comparison resurfaces,Harris' running mate faces renewed scrutiny after his 'weird' socialism comparison resurfaces,harris' running mate face renewed scrutiny 'weird' socialism comparison resurfaces,2024-08-06T14:52:34-04:00,1,93,10
https://www.foxnews.com/world/israeli-american-reservist-killed-hezbollah-missile-israel-idf-says,FoxNews,"Israeli-American reservist killed by Hezbollah missile in Israel, IDF says","Israeli-American reservist killed by Hezbollah missile in Israel, IDF says",israeli american reservist killed hezbollah missile israel idf say,2023-10-21T11:28:21-04:00,1,74,9
https://www.foxnews.com/us/david-mccullough-american-historian-presidential-medal-freedom-recipient-dies,FoxNews,"David McCullough, American historian and Presidential Medal of Freedom recipient, dies at 89","David McCullough, American historian and Presidential Medal of Freedom recipient, dies at 89",david mccullough american historian presidential medal freedom recipient dy 89,2022-08-08T13:16:08-04:00,1,92,10
https://www.foxnews.com/politics/lorie-smith-web-designer-free-speech,FoxNews,Web designer who refuses to create sites for same-sex weddings says Colorado law violates free speech rights,Web designer who refuses to create sites for same-sex weddings says Colorado law violates free speech rights,web designer refuse create site sex wedding say colorado law violates free speech right,2022-03-14T07:33:36-04:00,1,108,14
https://www.foxnews.com/entertainment/simon-cowell-reveals-son-changed-judging-style-empathy,FoxNews,Simon Cowell reveals how his son changed his judging style: ?€?I have much more empathy?€?,Simon Cowell reveals how his son changed his judging style: I have much more empathy,simon cowell reveals son changed judging style much empathy,2022-08-24T16:37:33-04:00,1,84,9
https://www.foxnews.com/lifestyle/walking-dead-syndrome-rare-conditions-baffle-doctors-researchers,FoxNews,Rare Disease Day: Walking Dead Syndrome and other rare conditions baffle doctors and researchers,Rare Disease Day: Walking Dead Syndrome and other rare conditions baffle doctors and researchers,rare disease day walking dead syndrome rare condition baffle doctor researcher,2022-10-31T02:00:09-04:00,1,96,11
https://www.foxnews.com/media/cnn-calls-out-harris-using-trumps-border-wall-campaign-ad-after-condemning-years,FoxNews,CNN calls out Harris for using Trump's border wall in campaign ad after condemning it for years,CNN calls out Harris for using Trump's border wall in campaign ad after condemning it for years,cnn call harris using trump border wall campaign ad condemning year,2024-09-05T18:00:16-04:00,1,95,11
https://www.foxnews.com/entertainment/taylor-swift-steals-nyc-spotlight-dinner-blake-lively-sophie-turner-brittany-mahomes,FoxNews,"Taylor Swift steals NYC spotlight during dinner with Blake Lively, Sophie Turner and Brittany Mahomes","Taylor Swift steals NYC spotlight during dinner with Blake Lively, Sophie Turner and Brittany Mahomes",taylor swift steal nyc spotlight dinner blake lively sophie turner brittany mahomes,2023-10-01T10:52:31-04:00,1,101,12
https://www.foxnews.com/health/ozempic-happy-drug-study-suggests-weight-loss-medications-reduce-depression-anxiety,FoxNews,"Ozempic, the happy drug? Study suggests weight-loss medications could reduce depression, anxiety","Ozempic, the happy drug? Study suggests weight-loss medications could reduce depression, anxiety",ozempic happy drug study suggests weight loss medication could reduce depression anxiety,2024-02-17T06:25:39-05:00,1,96,12
https://www.foxnews.com/food-drink/pennsylvania-family-sickened-after-eating-toxic-mushrooms-expected-recover.print,FoxNews,Pennsylvania family sickened after eating toxic mushrooms expected to recover,Pennsylvania family sickened after eating toxic mushrooms expected to recover,pennsylvania family sickened eating toxic mushroom expected recover,2024-10-15T15:21:32-04:00,1,77,8
https://www.foxnews.com/health/family-selling-dream-home-fund-life-saving-treatment-daughter.print,FoxNews,Family selling dream home to fund life-saving treatment for 5-year-old daughter,Family selling dream home to fund life-saving treatment for 5-year-old daughter,family selling dream home fund life saving treatment 5 year old daughter,2024-10-18T04:30:48-04:00,1,79,12
https://www.foxnews.com/world/israel-strikes-hamas-gaza-surprise-attack-exchanges-fire-hezbollah,FoxNews,"Israel declares war after Hamas surprise attack, launches retaliatory airstrikes in Gaza","Israel declares war after Hamas surprise attack, launches retaliatory airstrikes in Gaza",israel declares war hamas surprise attack launch retaliatory airstrikes gaza,2023-10-08T07:14:04-04:00,1,88,10
https://www.foxnews.com/entertainment/taylor-swift-travis-kelce-get-support-from-family-after-surprise-eras-tour-stage-appearance,FoxNews,"Taylor Swift, Travis Kelce get support from family after surprise 'Eras Tour' stage appearance","Taylor Swift, Travis Kelce get support from family after surprise 'Eras Tour' stage appearance",taylor swift travis kelce get support family surprise 'eras tour' stage appearance,2024-06-24T12:19:08-04:00,1,94,12
https://www.foxnews.com/entertainment/jim-morrison-the-doors-memoir-robby-krieger,FoxNews,"The Doors' Jim Morrison had ?€?a fascination with death?€? before passing away at 27, bandmate Robby Krieger says","The Doors' Jim Morrison had a fascination with death before passing away at 27, bandmate Robby Krieger says",doors' jim morrison fascination death passing away 27 bandmate robby krieger say,2021-10-12T05:00:25-04:00,1,107,12
https://www.foxnews.com/politics/walz-repeats-georgia-abortion-death-falsehood-decried-doctors-fearmongering,FoxNews,Walz repeats Georgia abortion death falsehood decried by doctors as 'fearmongering',Walz repeats Georgia abortion death falsehood decried by doctors as 'fearmongering',walz repeat georgia abortion death falsehood decried doctor 'fearmongering',2024-10-01T23:14:59-04:00,1,83,9
https://www.foxnews.com/politics/harris-campaign-wont-give-details-type-gun-she-owns-last-time-she-went-range,FoxNews,"Harris campaign won't give details on type of gun she owns, last time she went to range","Harris campaign won't give details on type of gun she owns, last time she went to range",harris campaign wont give detail type gun owns last time went range,2024-09-25T14:29:39-04:00,1,87,12
https://www.foxnews.com/us/utah-mom-kept-missing-daughter-hidden-cult-compound-months-help-from-adult-sons-prosecutors,FoxNews,"Utah mom kept missing daughter, 5, hidden in cult 'compound' for months with help from adult sons: prosecutors","Utah mom kept missing daughter, 5, hidden in cult 'compound' for months with help from adult sons: prosecutors",utah mom kept missing daughter 5 hidden cult 'compound' month help adult son prosecutor,2024-08-16T04:00:43-04:00,1,110,14
https://www.foxnews.com/media/kamala-harris-far-left-record-dismissed-accusations-attacks-from-trump-gop-shes-moderate,FoxNews,"Kamala Harris' far-left record dismissed as 'accusations,' attacks from Trump and GOP: 'She's moderate'","Kamala Harris' far-left record dismissed as 'accusations,' attacks from Trump and GOP: 'She's moderate'",kamala harris' far left record dismissed 'accusations ' attack trump gop 'shes moderate',2024-08-01T05:00:38-04:00,1,103,13
https://www.foxnews.com/world/israel-defense-forces-confirm-targeted-strike-beirut,FoxNews,Israel Defense Forces confirm 'targeted strike' on Beirut,Israel Defense Forces confirm 'targeted strike' on Beirut,israel defense force confirm 'targeted strike' beirut,2024-09-20T13:16:57-04:00,1,57,7
https://www.foxnews.com/world/pope-emeritus-benedict-xvi-dead-95-vatican-says,FoxNews,"Pope Emeritus Benedict XVI dead at 95, Vatican says","Pope Emeritus Benedict XVI dead at 95, Vatican says",pope emeritus benedict xvi dead 95 vatican say,2022-12-31T04:49:51-05:00,1,51,8
https://www.foxnews.com/politics/sheldon-whitehouse-doesnt-denounce-all-white-beach-club-his-family-belongs-to,FoxNews,Sheldon Whitehouse doesn't denounce super-exclusive beach club his family belongs to,Sheldon Whitehouse doesn't denounce super-exclusive beach club his family belongs to,sheldon whitehouse doesnt denounce super exclusive beach club family belongs,2021-06-21T10:53:52-04:00,1,84,10
https://www.foxnews.com/sports/san-jose-state-womens-volleyballs-trans-player-raises-eyebrows-brutal-spike-vs-new-mexico.print,FoxNews,San Jose State women's volleyball's trans player raises eyebrows with brutal spike vs New Mexico,San Jose State women's volleyball's trans player raises eyebrows with brutal spike vs New Mexico,san jose state womens volleyball trans player raise eyebrow brutal spike v new mexico,2024-10-18T07:43:03-04:00,1,96,14
https://www.foxnews.com/entertainment/star-wars-actress-carrie-fisher-honored-star-hollywood-walk-of-fame-amid-family-drama,FoxNews,'Star Wars' actress Carrie Fisher honored with star on Hollywood Walk of Fame amid family drama,'Star Wars' actress Carrie Fisher honored with star on Hollywood Walk of Fame amid family drama,'star wars' actress carrie fisher honored star hollywood walk fame amid family drama,2023-05-04T20:38:36-04:00,1,95,13
https://www.foxnews.com/politics/aoc-fires-back-fetterman-accuses-him-bleak-dunk-attempt,FoxNews,"AOC fires back at Fetterman, accuses him of 'bleak dunk attempt'","AOC fires back at Fetterman, accuses him of 'bleak dunk attempt'",aoc fire back fetterman accuses 'bleak dunk attempt',2024-10-16T07:05:07-04:00,1,64,8
https://www.foxnews.com/media/harris-calls-americans-move-past-failed-policies-november-draws-mockery.print,FoxNews,"Harris calls for Americans to 'move past the failed policies' in November, draws mockery","Harris calls for Americans to 'move past the failed policies' in November, draws mockery",harris call american 'move past failed policies' november draw mockery,2024-09-25T20:00:40-04:00,1,88,10
https://www.foxnews.com/entertainment/jake-e-lee-guitarist-ozzy-osbourne-broke-rib-damaged-lung-shot-3-times.print,FoxNews,"Jake E Lee, former guitarist for Ozzy Osbourne, ?€?broke a rib and damaged a lung?€? after being shot at 3 times","Jake E Lee, former guitarist for Ozzy Osbourne, broke a rib and damaged a lung after being shot at 3 times",jake e lee former guitarist ozzy osbourne broke rib damaged lung shot 3 time,2024-10-18T11:13:30-04:00,1,106,14
https://www.foxnews.com/sports/nevada-womens-volleyball-captain-slams-trans-athletes-her-sport-team-decides-against-players-refusal.print,FoxNews,Nevada women's volleyball captain slams trans athletes in her sport as team decides against players?€? refusal,Nevada women's volleyball captain slams trans athletes in her sport as team decides against players' refusal,nevada womens volleyball captain slam trans athlete sport team decides players' refusal,2024-10-17T12:55:40-04:00,1,108,12
https://www.foxnews.com/media/jd-vance-calls-out-deranged-mindset-we-need-illegal-immigrants-build-houses,FoxNews,JD Vance calls out 'deranged' mindset that we need illegal immigrants to build houses,JD Vance calls out 'deranged' mindset that we need illegal immigrants to build houses,jd vance call 'deranged' mindset need illegal immigrant build house,2024-10-14T06:00:45-04:00,1,85,10
https://www.foxnews.com/lifestyle/meet-american-who-created-bubble-gum-walter-diemer-home-kitchen-chemist-outwitted-scientists,FoxNews,"Meet the American who created bubble gum, Walter Diemer, home-kitchen chemist outwitted scientists","Meet the American who created bubble gum, Walter Diemer, home-kitchen chemist outwitted scientists",meet american created bubble gum walter diemer home kitchen chemist outwitted scientist,2024-05-10T04:00:36-04:00,1,98,12
https://www.foxnews.com/politics/biden-campaign-sends-all-staff-memo-hoping-calm-post-debate-concerns-report,FoxNews,Biden campaign sends all-staff memo hoping to calm post-debate concerns,Biden campaign sends all-staff memo hoping to calm post-debate concerns,biden campaign sends staff memo hoping calm post debate concern,2024-07-03T11:44:18-04:00,1,71,10
https://www.foxnews.com/politics/trump-harris-toss-up-races-key-swing-states-pennsylvania-georgia-nevada-poll.print,FoxNews,"Trump and Harris in toss-up races in key swing states Pennsylvania, Georgia, Nevada: poll","Trump and Harris in toss-up races in key swing states Pennsylvania, Georgia, Nevada: poll",trump harris toss race key swing state pennsylvania georgia nevada poll,2024-09-04T07:31:42-04:00,1,89,11
https://www.foxnews.com/politics/harris-supporters-say-shell-fix-immigration-blame-trump-for-border-crisis-immigration-blame-trump-border-crisis,FoxNews,"Harris supporters say she'll fix immigration, blame Trump for border crisis","Harris supporters say she'll fix immigration, blame Trump for border crisis",harris supporter say shell fix immigration blame trump border crisis,2024-10-06T14:14:04-04:00,1,75,10
https://www.foxnews.com/world/israel-says-conducted-retaliatory-strikes-against-hezbollah-lebanon-struck-hamas-gaza.print,FoxNews,"Israel says it conducted retaliatory strikes against Hezbollah in Lebanon, struck Hamas in Gaza","Israel says it conducted retaliatory strikes against Hezbollah in Lebanon, struck Hamas in Gaza",israel say conducted retaliatory strike hezbollah lebanon struck hamas gaza,2024-09-22T05:29:28-04:00,1,95,10
https://www.foxnews.com/entertainment/harrison-ford-mocks-conan-obrien-star-wars-dis-cant-f-ing-remember,FoxNews,Harrison Ford mocks Conan O?€?Brien after 'Star Wars' dis: ?€?You can't f---ing remember',Harrison Ford mocks Conan O'Brien after 'Star Wars' dis: You can't f---ing remember',harrison ford mock conan obrien 'star wars' dis cant f ing remember',2023-07-06T13:13:23-04:00,1,84,12
https://www.foxnews.com/lifestyle/franklin-grahams-samaritans-purse-sponsors-21-ambulances-israel-replace-destroyed-hamas,FoxNews,Franklin Graham's Samaritan's Purse sponsors 21 ambulances in Israel to replace those destroyed by Hamas,Franklin Graham's Samaritan's Purse sponsors 21 ambulances in Israel to replace those destroyed by Hamas,franklin graham samaritan purse sponsor 21 ambulance israel replace destroyed hamas,2023-11-16T14:52:25-05:00,1,104,11
https://www.foxnews.com/entertainment/bruce-willis-shares-sweet-embrace-daughter-tallulah-makes-funny-faces-playful-snaps.print,FoxNews,Bruce Willis shares sweet embrace with daughter Tallulah and makes funny faces in playful snaps,Bruce Willis shares sweet embrace with daughter Tallulah and makes funny faces in playful snaps,bruce willis share sweet embrace daughter tallulah make funny face playful snap,2023-01-14T19:27:08-05:00,1,95,12
https://www.foxnews.com/politics/secret-service-protocol-changed-amid-presidential-assassination-attempts-through-years,FoxNews,How Secret Service protocol has changed amid presidential assassination attempts through the years,How Secret Service protocol has changed amid presidential assassination attempts through the years,secret service protocol changed amid presidential assassination attempt year,2024-07-14T14:13:32-04:00,1,98,9
https://www.foxnews.com/world/hezbollah-hits-israel-deadliest-attack-months-long-conflict-idf-says-raising-fears-escalation.print,FoxNews,"Hezbollah hits Israel with deadliest attack in months-long conflict, IDF says, raising fears of escalation","Hezbollah hits Israel with deadliest attack in months-long conflict, IDF says, raising fears of escalation",hezbollah hit israel deadliest attack month long conflict idf say raising fear escalation,2024-07-27T14:08:52-04:00,1,106,13
https://www.foxnews.com/media/fox-nation-debut-american-history-series-kelsey-grammer,FoxNews,Fox Nation to debut new American history series hosted by Kelsey Grammer,Fox Nation to debut new American history series hosted by Kelsey Grammer,fox nation debut new american history series hosted kelsey grammer,2022-04-06T11:46:56-04:00,1,72,10
https://www.foxnews.com/politics/trump-calls-liz-cheney-low-iq-war-hawk-after-appearance-support-harris,FoxNews,Trump calls Liz Cheney a 'low IQ war hawk' after appearance in support of Harris,Trump calls Liz Cheney a 'low IQ war hawk' after appearance in support of Harris,trump call liz cheney 'low iq war hawk' appearance support harris,2024-10-04T09:56:32-04:00,1,80,11
https://www.foxnews.com/media/trump-hints-he-appear-joe-rogan-podcast-i-think-im-doing-it.print,FoxNews,Trump hints he will appear on Joe Rogan podcast: 'I think I'm doing it',Trump hints he will appear on Joe Rogan podcast: 'I think I'm doing it',trump hint appear joe rogan podcast 'i think im it',2024-10-13T12:30:59-04:00,1,71,10
https://www.foxnews.com/us/stairwell-b-story-14-survivors-north-tower-9-11,FoxNews,"How Stairwell B became the site of a miracle amidst the tragedy of Sept. 11, 2001","How Stairwell B became the site of a miracle amidst the tragedy of Sept. 11, 2001",stairwell b became site miracle amidst tragedy sept 11 2001,2023-09-10T17:21:38-04:00,1,81,10
https://www.foxnews.com/lifestyle/best-vegetables-for-health-nutritionists,FoxNews,"The best vegetables for your health, according to nutritionists","The best vegetables for your health, according to nutritionists",best vegetable health according nutritionist,2022-06-17T16:48:03-04:00,1,63,5
https://www.foxnews.com/sports/eagles-nick-sirianni-has-heated-spat-fans-after-close-win-vs-browns,FoxNews,Eagles' Nick Sirianni has heated spat with fans after close win vs Browns,Eagles' Nick Sirianni has heated spat with fans after close win vs Browns,eagles' nick sirianni heated spat fan close win v brown,2024-10-13T17:29:39-04:00,1,73,10
https://www.foxnews.com/lifestyle/americas-unique-thanksgiving-stuffing-preferences-state-by-state,FoxNews,America's 'unique' Thanksgiving stuffing preferences state-by-state,America's 'unique' Thanksgiving stuffing preferences state-by-state,america 'unique' thanksgiving stuffing preference state state,2022-11-17T14:18:20-05:00,1,67,7
https://www.foxnews.com/politics/wisconsin-kicks-off-election-season-first-widely-available-absentee-ballots.print,FoxNews,Wisconsin kicks off election season with first widely available absentee ballots,Wisconsin kicks off election season with first widely available absentee ballots,wisconsin kick election season first widely available absentee ballot,2024-09-19T05:00:08-04:00,1,80,9
https://www.foxnews.com/media/kamala-harris-struggling-how-shes-different-biden-the-view-surprises-cnn-panel.print,FoxNews,Kamala Harris struggling to say how she's different than Biden on 'The View' surprises CNN panel,Kamala Harris struggling to say how she's different than Biden on 'The View' surprises CNN panel,kamala harris struggling say shes different biden 'the view' surprise cnn panel,2024-10-09T13:58:46-04:00,1,96,12
https://www.foxnews.com/sports/transgender-athlete-defeated-woman-competitor-major-uk-competition-championship-epic-comeback.print,FoxNews,Transgender athlete defeated by woman competitor at major UK competition championship in epic comeback,Transgender athlete defeated by woman competitor at major UK competition championship in epic comeback,transgender athlete defeated woman competitor major uk competition championship epic comeback,2024-10-16T15:41:52-04:00,1,102,11
https://www.foxnews.com/politics/black-lives-matter-blames-us-praises-cuban-regime-social-media-erupts,FoxNews,"Black Lives Matter blames US, praises Cuban regime, social media erupts","Black Lives Matter blames US, praises Cuban regime, social media erupts",black life matter blame u praise cuban regime social medium erupts,2021-07-15T03:59:04-04:00,1,71,11
https://www.foxnews.com/politics/how-us-government-dole-out-aid-victims-hurricanes-milton-helene,FoxNews,"How US government will dole out aid to victims of Hurricanes Milton, Helene","How US government will dole out aid to victims of Hurricanes Milton, Helene",u government dole aid victim hurricane milton helene,2024-10-09T17:25:04-04:00,1,75,8
https://www.foxnews.com/politics/biden-admin-rushing-industrialize-us-oceans-stop-climate-change-environmental-wrecking-ball,FoxNews,Biden admin is rushing to industrialize US oceans to stop climate change: 'Environmental wrecking ball',Biden admin is rushing to industrialize US oceans to stop climate change: 'Environmental wrecking ball',biden admin rushing industrialize u ocean stop climate change 'environmental wrecking ball',2023-04-22T15:10:48-04:00,1,103,12
https://www.foxnews.com/us/honduran-illegal-immigrant-deported-twice-sentenced-texas-burglary-ring,FoxNews,"Honduran illegal immigrant deported from US twice, sentenced for leading Texas burglary ring: 'Masterminded'","Honduran illegal immigrant deported from US twice, sentenced for leading Texas burglary ring: 'Masterminded'",honduran illegal immigrant deported u twice sentenced leading texas burglary ring 'masterminded',2024-10-17T20:24:46-04:00,1,108,12
https://www.foxnews.com/us/colorado-mayor-speaks-out-after-video-armed-venezuelan-gang-apartment-goes-viral.print,FoxNews,Colorado mayor speaks out after video of armed Venezuelan gang in apartment goes viral: 'Failed policy',Colorado mayor speaks out after video of armed Venezuelan gang in apartment goes viral: 'Failed policy',colorado mayor speaks video armed venezuelan gang apartment go viral 'failed policy',2024-08-29T17:52:20-04:00,1,103,12
https://www.foxnews.com/us/remains-of-kansas-priest-who-died-in-korean-war-identified.print,FoxNews,Remains of Kansas Priest Who Died in Korean War Identified,Remains of Kansas Priest Who Died in Korean War Identified,remains kansa priest died korean war identified,2021-03-05T20:36:31-05:00,1,58,7
https://www.foxnews.com/us/anti-israel-yale-protesters-joining-columbia-students-in-tear-down-our-society-ivy-league-movement-law-prof,FoxNews,Anti-Israel Yale protesters joining Columbia students in 'tear down our society' Ivy League movement: Law prof,Anti-Israel Yale protesters joining Columbia students in 'tear down our society' Ivy League movement: Law prof,anti israel yale protester joining columbia student 'tear society' ivy league movement law prof,2024-04-20T22:30:41-04:00,1,110,14
https://www.foxnews.com/sports/idaho-gov-praises-boise-states-decision-forfeit-womens-volleyball-match-against-team-trans-player,FoxNews,Idaho gov praises Boise State?€?s decision to forfeit women?€?s volleyball match against team with trans player,Idaho gov praises Boise State's decision to forfeit women's volleyball match against team with trans player,idaho gov praise boise state decision forfeit womens volleyball match team trans player,2024-09-28T12:56:13-04:00,1,107,13
https://www.foxnews.com/entertainment/billy-joel-weight-loss-madison-square-garden,FoxNews,Billy Joel unveils 50-pound weight loss at Madison Square Garden following back surgery,Billy Joel unveils 50-pound weight loss at Madison Square Garden following back surgery,billy joel unveils 50 pound weight loss madison square garden following back surgery,2021-11-09T14:25:08-05:00,1,87,13
https://www.foxnews.com/food-drink/tequila-more-than-shot-fun-facts-spirit,FoxNews,"Tequila is more than just a shot, plus other fun facts about this spirit","Tequila is more than just a shot, plus other fun facts about this spirit",tequila shot plus fun fact spirit,2024-07-24T06:00:50-04:00,1,72,6
https://www.foxnews.com/lifestyle/americans-need-face-face-civil-discussions-folks-outside-bubble.print,FoxNews,Why Americans need more face-to-face civil discussions 'with folks outside their own bubble',Why Americans need more face-to-face civil discussions 'with folks outside their own bubble',american need face face civil discussion 'with folk outside bubble',2024-09-07T06:00:32-04:00,1,92,10
https://www.foxnews.com/media/mom-dad-complain-11-year-old-daughter-forced-share-bed-biological-male-school-trip,FoxNews,Christian parents complain after 11-year-old daughter forced to share bed with biological male on school trip,Christian parents complain after 11-year-old daughter forced to share bed with biological male on school trip,christian parent complain 11 year old daughter forced share bed biological male school trip,2023-12-04T19:07:55-05:00,1,109,14
https://www.foxnews.com/media/slap-face-media-government-downplaying-venezuelan-gangs-says-woman-fled-colorado-apartment,FoxNews,"'Slap in the face': Media, government downplaying Venezuelan gangs, says woman who fled her Colorado apartment","'Slap in the face': Media, government downplaying Venezuelan gangs, says woman who fled her Colorado apartment",'slap face' medium government downplaying venezuelan gang say woman fled colorado apartment,2024-10-14T17:30:09-04:00,1,110,12
